1736458893.395820 server started (3409348): version 3.4, socket /tmp/tmux-208764/default, protocol 8
1736458893.395843 on Linux 6.8.0-47-generic #47-Ubuntu SMP PREEMPT_DYNAMIC Fri Sep 27 21:40:26 UTC 2024
1736458893.395850 using libevent 2.1.12-stable poll
1736458893.395853 using ncurses 6.4 20240113
1736458893.396095 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1736458893.396098 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1736458893.396100 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1736458893.396103 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1736458893.396105 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1736458893.396108 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1736458893.396115 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1736458893.396118 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1736458893.396121 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1736458893.396123 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1736458893.396126 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1736458893.396131 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1736458893.396134 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1736458893.396137 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1736458893.396139 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1736458893.396142 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1736458893.396144 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1736458893.396147 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1736458893.396149 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1736458893.396152 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1736458893.396154 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1736458893.396157 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1736458893.396159 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1736458893.396162 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1736458893.396164 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1736458893.396167 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1736458893.396169 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1736458893.396172 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1736458893.396175 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1736458893.396177 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1736458893.396180 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1736458893.396182 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1736458893.396185 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1736458893.396187 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1736458893.396190 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1736458893.396193 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1736458893.396195 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1736458893.396198 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1736458893.396200 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1736458893.396203 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1736458893.396205 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1736458893.396208 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1736458893.396210 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1736458893.396213 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1736458893.396215 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1736458893.396218 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1736458893.396221 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1736458893.396223 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1736458893.396226 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1736458893.396228 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1736458893.396231 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1736458893.396234 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1736458893.396236 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1736458893.396239 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1736458893.396242 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1736458893.396244 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1736458893.396247 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1736458893.396250 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1736458893.396252 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1736458893.396255 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1736458893.396257 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1736458893.396260 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1736458893.396262 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1736458893.396268 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1736458893.396271 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1736458893.396273 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1736458893.396276 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1736458893.396279 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1736458893.396281 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1736458893.396284 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1736458893.396286 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1736458893.396289 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1736458893.396292 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1736458893.396294 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1736458893.396300 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1736458893.396303 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1736458893.396306 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1736458893.396315 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1736458893.396318 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1736458893.396321 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1736458893.396323 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1736458893.396326 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1736458893.396328 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1736458893.396331 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1736458893.396334 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1736458893.396336 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1736458893.396339 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1736458893.396342 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1736458893.396344 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1736458893.396347 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1736458893.396349 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1736458893.396352 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1736458893.396355 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1736458893.396357 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1736458893.396360 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1736458893.396362 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1736458893.396365 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1736458893.396368 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1736458893.396371 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1736458893.396373 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1736458893.396376 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1736458893.396379 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1736458893.396381 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1736458893.396384 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1736458893.396387 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1736458893.396389 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1736458893.396392 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1736458893.396395 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1736458893.396397 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1736458893.396400 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1736458893.396403 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1736458893.396405 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1736458893.396408 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1736458893.396411 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1736458893.396413 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1736458893.396416 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1736458893.396419 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1736458893.396421 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1736458893.396427 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1736458893.396430 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1736458893.396433 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1736458893.396435 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1736458893.396438 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1736458893.396441 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1736458893.396443 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1736458893.396446 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1736458893.396449 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1736458893.396454 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1736458893.396457 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1736458893.396460 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1736458893.396462 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1736458893.396465 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1736458893.396468 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1736458893.396470 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1736458893.396473 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1736458893.396476 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1736458893.396478 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1736458893.396481 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1736458893.396484 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1736458893.396486 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1736458893.396489 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1736458893.396492 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1736458893.396494 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1736458893.396497 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1736458893.396500 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1736458893.396502 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1736458893.396505 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1736458893.396508 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1736458893.396510 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1736458893.396513 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1736458893.396516 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1736458893.396518 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1736458893.396521 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1736458893.396524 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1736458893.396526 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1736458893.396529 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1736458893.396532 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1736458893.396534 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1736458893.396537 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1736458893.396540 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1736458893.396542 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1736458893.396545 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1736458893.396548 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1736458893.396554 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1736458893.396569 yylex_token: end at WS
1736458893.396571 yylex_token: bind
1736458893.396575 yylex_token: end at WS
1736458893.396577 yylex_token: -N
1736458893.396580 yylex_token: end at WS
1736458893.396583 yylex_token: Send the prefix key
1736458893.396585 yylex_token: end at WS
1736458893.396587 yylex_token: C-b
1736458893.396590 yylex_token: end at WS
1736458893.396592 yylex_token: send-prefix
1736458893.396597 cmd_parse_build_commands 0:0: bind
1736458893.396603 cmd_parse_build_commands 0:1: -N
1736458893.396606 cmd_parse_build_commands 0:2: Send the prefix key
1736458893.396608 cmd_parse_build_commands 0:3: C-b
1736458893.396611 cmd_parse_build_commands 0:4 0:0: send-prefix
1736458893.396622 cmd_parse_build_commands 0:0: send-prefix
1736458893.396632 args_parse: flags end at 1 of 1
1736458893.396642 cmd_parse_build_commands: send-prefix
1736458893.396644 args_parse_flags: next -N
1736458893.396647 args_parse_flag_argument: -N = Send the prefix key
1736458893.396650 args_parse_flags: next C-b
1736458893.396652 args_parse: flags end at 3 of 5
1736458893.396655 args_parse: 3 = C-b (type STRING)
1736458893.396658 args_parse: 4 = send-prefix (type COMMANDS)
1736458893.396677 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1736458893.396681 cmdq_get_command: [bind-key/0x632616cc8040] group 2
1736458893.396684 cmdq_append <global>: [bind-key/0x632616cc8040]
1736458893.396688 yylex_token: end at WS
1736458893.396691 yylex_token: bind
1736458893.396693 yylex_token: end at WS
1736458893.396695 yylex_token: -N
1736458893.396698 yylex_token: end at WS
1736458893.396701 yylex_token: Rotate through the panes
1736458893.396703 yylex_token: end at WS
1736458893.396705 yylex_token: C-o
1736458893.396708 yylex_token: end at WS
1736458893.396711 yylex_token: rotate-window
1736458893.396714 cmd_parse_build_commands 0:0: bind
1736458893.396716 cmd_parse_build_commands 0:1: -N
1736458893.396719 cmd_parse_build_commands 0:2: Rotate through the panes
1736458893.396722 cmd_parse_build_commands 0:3: C-o
1736458893.396724 cmd_parse_build_commands 0:4 0:0: rotate-window
1736458893.396728 cmd_parse_build_commands 0:0: rotate-window
1736458893.396732 args_parse: flags end at 1 of 1
1736458893.396735 cmd_parse_build_commands: rotate-window
1736458893.396738 args_parse_flags: next -N
1736458893.396740 args_parse_flag_argument: -N = Rotate through the panes
1736458893.396743 args_parse_flags: next C-o
1736458893.396745 args_parse: flags end at 3 of 5
1736458893.396748 args_parse: 3 = C-o (type STRING)
1736458893.396751 args_parse: 4 = rotate-window (type COMMANDS)
1736458893.396757 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1736458893.396760 cmdq_get_command: [bind-key/0x632616cc8510] group 10
1736458893.396763 cmdq_append <global>: [bind-key/0x632616cc8510]
1736458893.396767 yylex_token: end at WS
1736458893.396769 yylex_token: bind
1736458893.396771 yylex_token: end at WS
1736458893.396774 yylex_token: -N
1736458893.396777 yylex_token: end at WS
1736458893.396779 yylex_token: Suspend the current client
1736458893.396782 yylex_token: end at WS
1736458893.396784 yylex_token: C-z
1736458893.396787 yylex_token: end at WS
1736458893.396789 yylex_token: suspend-client
1736458893.396792 cmd_parse_build_commands 0:0: bind
1736458893.396794 cmd_parse_build_commands 0:1: -N
1736458893.396797 cmd_parse_build_commands 0:2: Suspend the current client
1736458893.396800 cmd_parse_build_commands 0:3: C-z
1736458893.396802 cmd_parse_build_commands 0:4 0:0: suspend-client
1736458893.396805 cmd_parse_build_commands 0:0: suspend-client
1736458893.396811 args_parse: flags end at 1 of 1
1736458893.396813 cmd_parse_build_commands: suspend-client
1736458893.396816 args_parse_flags: next -N
1736458893.396818 args_parse_flag_argument: -N = Suspend the current client
1736458893.396821 args_parse_flags: next C-z
1736458893.396823 args_parse: flags end at 3 of 5
1736458893.396826 args_parse: 3 = C-z (type STRING)
1736458893.396828 args_parse: 4 = suspend-client (type COMMANDS)
1736458893.396834 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1736458893.396837 cmdq_get_command: [bind-key/0x632616cc61c0] group 18
1736458893.396840 cmdq_append <global>: [bind-key/0x632616cc61c0]
1736458893.396844 yylex_token: end at WS
1736458893.396846 yylex_token: bind
1736458893.396848 yylex_token: end at WS
1736458893.396850 yylex_token: -N
1736458893.396853 yylex_token: end at WS
1736458893.396855 yylex_token: Select next layout
1736458893.396861 yylex_token: end at WS
1736458893.396863 yylex_token: Space
1736458893.396866 yylex_token: end at WS
1736458893.396868 yylex_token: next-layout
1736458893.396871 cmd_parse_build_commands 0:0: bind
1736458893.396874 cmd_parse_build_commands 0:1: -N
1736458893.396876 cmd_parse_build_commands 0:2: Select next layout
1736458893.396879 cmd_parse_build_commands 0:3: Space
1736458893.396882 cmd_parse_build_commands 0:4 0:0: next-layout
1736458893.396885 cmd_parse_build_commands 0:0: next-layout
1736458893.396889 args_parse: flags end at 1 of 1
1736458893.396891 cmd_parse_build_commands: next-layout
1736458893.396894 args_parse_flags: next -N
1736458893.396896 args_parse_flag_argument: -N = Select next layout
1736458893.396898 args_parse_flags: next Space
1736458893.396901 args_parse: flags end at 3 of 5
1736458893.396912 args_parse: 3 = Space (type STRING)
1736458893.396917 args_parse: 4 = next-layout (type COMMANDS)
1736458893.396922 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1736458893.396925 cmdq_get_command: [bind-key/0x632616cc6900] group 26
1736458893.396928 cmdq_append <global>: [bind-key/0x632616cc6900]
1736458893.396932 yylex_token: end at WS
1736458893.396934 yylex_token: bind
1736458893.396936 yylex_token: end at WS
1736458893.396938 yylex_token: -N
1736458893.396942 yylex_token: end at WS
1736458893.396944 yylex_token: Break pane to a new window
1736458893.396946 yylex_token: end at WS
1736458893.396948 yylex_token: !
1736458893.396951 yylex_token: end at WS
1736458893.396953 yylex_token: break-pane
1736458893.396956 cmd_parse_build_commands 0:0: bind
1736458893.396959 cmd_parse_build_commands 0:1: -N
1736458893.396961 cmd_parse_build_commands 0:2: Break pane to a new window
1736458893.396964 cmd_parse_build_commands 0:3: !
1736458893.396966 cmd_parse_build_commands 0:4 0:0: break-pane
1736458893.396969 cmd_parse_build_commands 0:0: break-pane
1736458893.396972 args_parse: flags end at 1 of 1
1736458893.396975 cmd_parse_build_commands: break-pane
1736458893.396977 args_parse_flags: next -N
1736458893.396980 args_parse_flag_argument: -N = Break pane to a new window
1736458893.396982 args_parse_flags: next !
1736458893.396985 args_parse: flags end at 3 of 5
1736458893.396987 args_parse: 3 = ! (type STRING)
1736458893.396990 args_parse: 4 = break-pane (type COMMANDS)
1736458893.396996 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1736458893.396999 cmdq_get_command: [bind-key/0x632616cc6d10] group 34
1736458893.397002 cmdq_append <global>: [bind-key/0x632616cc6d10]
1736458893.397005 yylex_token: end at WS
1736458893.397007 yylex_token: bind
1736458893.397010 yylex_token: end at WS
1736458893.397012 yylex_token: -N
1736458893.397015 yylex_token: end at WS
1736458893.397017 yylex_token: Split window vertically
1736458893.397019 yylex_token: end at WS
1736458893.397022 yylex_token: "
1736458893.397024 yylex_token: end at WS
1736458893.397026 yylex_token: split-window
1736458893.397029 cmd_parse_build_commands 0:0: bind
1736458893.397032 cmd_parse_build_commands 0:1: -N
1736458893.397034 cmd_parse_build_commands 0:2: Split window vertically
1736458893.397037 cmd_parse_build_commands 0:3: "
1736458893.397040 cmd_parse_build_commands 0:4 0:0: split-window
1736458893.397043 cmd_parse_build_commands 0:0: split-window
1736458893.397047 args_parse: flags end at 1 of 1
1736458893.397050 cmd_parse_build_commands: split-window
1736458893.397052 args_parse_flags: next -N
1736458893.397055 args_parse_flag_argument: -N = Split window vertically
1736458893.397057 args_parse_flags: next "
1736458893.397059 args_parse: flags end at 3 of 5
1736458893.397062 args_parse: 3 = " (type STRING)
1736458893.397065 args_parse: 4 = split-window (type COMMANDS)
1736458893.397070 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1736458893.397073 cmdq_get_command: [bind-key/0x632616cc9420] group 42
1736458893.397076 cmdq_append <global>: [bind-key/0x632616cc9420]
1736458893.397080 yylex_token: end at WS
1736458893.397085 yylex_token: bind
1736458893.397087 yylex_token: end at WS
1736458893.397089 yylex_token: -N
1736458893.397092 yylex_token: end at WS
1736458893.397094 yylex_token: List all paste buffers
1736458893.397097 yylex_token: end at WS
1736458893.397099 yylex_token: #
1736458893.397102 yylex_token: end at WS
1736458893.397104 yylex_token: list-buffers
1736458893.397107 cmd_parse_build_commands 0:0: bind
1736458893.397109 cmd_parse_build_commands 0:1: -N
1736458893.397112 cmd_parse_build_commands 0:2: List all paste buffers
1736458893.397114 cmd_parse_build_commands 0:3: #
1736458893.397117 cmd_parse_build_commands 0:4 0:0: list-buffers
1736458893.397120 cmd_parse_build_commands 0:0: list-buffers
1736458893.397123 args_parse: flags end at 1 of 1
1736458893.397126 cmd_parse_build_commands: list-buffers
1736458893.397128 args_parse_flags: next -N
1736458893.397131 args_parse_flag_argument: -N = List all paste buffers
1736458893.397133 args_parse_flags: next #
1736458893.397136 args_parse: flags end at 3 of 5
1736458893.397138 args_parse: 3 = # (type STRING)
1736458893.397141 args_parse: 4 = list-buffers (type COMMANDS)
1736458893.397146 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1736458893.397149 cmdq_get_command: [bind-key/0x632616cc9ac0] group 50
1736458893.397152 cmdq_append <global>: [bind-key/0x632616cc9ac0]
1736458893.397156 yylex_token: end at WS
1736458893.397158 yylex_token: bind
1736458893.397160 yylex_token: end at WS
1736458893.397162 yylex_token: -N
1736458893.397165 yylex_token: end at WS
1736458893.397167 yylex_token: Rename current session
1736458893.397170 yylex_token: end at WS
1736458893.397172 yylex_token: $
1736458893.397175 yylex_token: end at WS
